Frame,Time,1_pos_X,1_pos_Y,1_pos_Z,2_pos_X,2_pos_Y,2_pos_Z,3_pos_X,3_pos_Y,3_pos_Z,4_pos_X,4_pos_Y,4_pos_Z,C_pos_X,C_pos_Y,C_pos_Z
403,4.02,225.055,122.474,38.008,226.472,273.687,36.144,375.298,272.411,34.11,373.163,122.613,38.166,303.343,196.284,56.505
404,4.03,225.021,122.514,38.039,226.509,273.734,36.137,375.208,272.395,34.078,373.107,122.573,38.162,303.344,196.302,56.524
405,4.04,225.011,122.511,38.032,226.501,273.764,36.156,375.343,272.293,34.136,373.145,122.582,38.216,303.324,196.313,56.53
406,4.05,225.035,122.562,38.101,226.532,273.758,36.182,375.217,272.301,34.162,372.912,122.898,38.559,303.326,196.277,56.547
407,4.06,224.99,122.546,38.132,226.48,273.726,36.168,375.228,272.243,34.099,372.642,123.211,39.072,303.324,196.295,56.543
408,4.07,225.06,122.491,38.193,226.47,273.769,36.182,375.179,272.2,34.187,373.027,123.206,38.798,303.298,196.273,56.557
409,4.08,225.274,122.514,38.46,226.448,273.675,36.222,375.092,272.33,34.061,372.915,123.191,38.866,303.342,196.289,56.578
410,4.09,225.335,122.591,38.8,226.485,273.634,36.172,375.134,272.251,34.116,372.95,123.182,39.117,303.345,196.32,56.691
411,4.1,225.341,122.584,39.096,226.414,273.632,36.14,374.867,272.431,33.674,372.872,123.142,39.485,303.354,196.364,56.909
412,4.11,225.312,122.461,39.712,226.473,273.637,36.269,374.669,272.55,33.618,372.94,123.317,40.066,303.414,196.506,57.123
413,4.12,225.324,122.473,40.524,226.387,273.667,36.193,374.763,272.526,33.546,373.062,123.59,40.704,303.483,196.745,57.457
414,4.13,225.429,122.649,41.567,226.315,273.687,36.383,374.72,272.654,33.422,373.009,123.647,41.478,303.889,197.061,57.79
415,4.14,225.392,122.744,43.004,226.228,273.907,36.666,374.655,272.724,33.497,372.934,123.711,42.532,303.772,197.299,58.417
416,4.15,225.366,122.927,44.511,226.138,273.967,37.195,374.513,272.818,33.706,373.204,124.179,44.152,303.737,197.652,59.228
417,4.16,225.313,123.074,46.313,226.259,274.217,38.375,374.683,272.931,34.59,373.056,124.25,45.233,303.833,197.946,60.598
418,4.17,225.371,123.416,48.197,226.163,274.37,39.495,374.57,273.155,35.796,373.027,124.516,46.98,303.787,198.138,61.791
419,4.18,225.359,123.73,50.201,226.039,274.652,41.289,374.477,273.322,36.674,372.937,124.697,48.42,303.915,198.48,63.648
420,4.19,225.471,124.138,52.502,225.97,274.873,43.223,374.729,273.601,38.497,373.07,125.073,50.493,303.766,198.723,65.057
