NO_OF_FRAMES	494
NO_OF_DATA_TYPES	15
FREQUENCY	100
TIME_STAMP	2025-01-24, 16:29:33
DATA_INCLUDED	Velocity
DATA_TYPES	2_vel_X	2_vel_Y	2_vel_Z	3_vel_X	3_vel_Y	3_vel_Z	4_vel_X	4_vel_Y	4_vel_Z	C_vel_X	C_vel_Y	C_vel_Z	1_vel_X	1_vel_Y	1_vel_Z

Frame	Time	2_vel_X	2_vel_Y	2_vel_Z	3_vel_X	3_vel_Y	3_vel_Z	4_vel_X	4_vel_Y	4_vel_Z	C_vel_X	C_vel_Y	C_vel_Z	1_vel_X	1_vel_Y	1_vel_Z	
395	3.94000	1.039	0.328	0.441	1.398	-1.421	0.426	0.183	-1.547	-1.931	0.266	-0.134	-1.200	-1.062	-2.118	-1.745
396	3.95000	-0.157	-1.018	-0.493	-0.168	-0.138	1.066	0.126	-0.246	-1.138	-1.332	0.821	-0.255	0.502	0.598	1.711
397	3.96000	-0.686	0.007	-0.226	-1.853	0.435	-1.296	-0.557	2.248	1.712	-0.698	0.121	0.472	0.958	-0.278	-0.363
398	3.97000	9.099	9.360	0.822	-8.532	5.307	0.795	-8.591	-9.363	1.640	1.194	-0.226	0.897	10.708	-12.930	-4.528
399	3.98000	4.323	4.647	-0.573	-6.590	4.513	2.052	-4.964	-6.090	-0.804	1.323	0.667	-0.553	4.241	-1.883	-0.037
400	3.99000	-1.553	-2.388	-0.742	3.582	-0.308	0.390	5.467	6.727	-0.399	0.548	-1.041	-0.402	-1.169	2.784	0.040
401	4.00000	-1.377	-1.708	1.331	3.984	-2.836	-2.959	0.546	0.079	1.362	-0.324	-0.365	1.225	0.345	-5.587	-2.632
402	4.01000	-4.936	-5.861	0.201	-0.002	0.112	-0.462	0.347	0.432	0.117	0.163	0.101	-0.358	-2.771	1.558	0.269
403	4.02000	1.288	-0.360	-1.278	-6.296	2.881	0.757	-0.536	0.382	-0.555	0.531	0.748	0.103	-0.151	1.095	0.971
404	4.03000	1.411	3.865	0.592	2.253	-5.905	1.319	-0.877	-1.564	2.513	-0.926	1.427	1.255	-2.236	1.854	1.189
405	4.04000	1.143	1.182	2.260	0.440	-4.677	4.241	-9.727	16.259	19.840	-0.915	-1.243	1.168	0.729	2.394	3.067
406	4.05000	-1.045	-1.907	0.590	-5.734	-2.493	-1.868	-25.174	31.435	42.807	-0.027	-0.899	0.640	-1.029	1.756	4.979
407	4.06000	-3.097	0.556	-0.009	-1.866	-5.065	1.232	5.729	15.402	11.961	-1.399	-0.194	0.511	1.252	-3.535	4.611
408	4.07000	-1.596	-2.532	2.734	-6.841	4.357	-1.875	13.643	-0.979	-10.324	0.920	-0.295	1.768	14.193	-1.624	16.421
409	4.08000	0.746	-6.734	-0.495	-2.270	2.537	-3.558	-3.844	-1.218	15.946	2.342	2.344	6.687	13.728	5.006	30.362
410	4.09000	-1.707	-2.173	-4.141	-11.229	5.044	-19.363	-2.140	-2.462	30.947	0.579	3.744	16.528	3.335	3.496	31.810
411	4.10000	-0.591	0.119	4.822	-23.237	14.966	-24.874	-0.502	6.783	47.417	3.490	9.290	21.624	-1.158	-6.516	45.572
412	4.11000	-1.338	1.771	2.671	-5.198	4.754	-6.377	9.519	22.423	60.948	6.456	19.077	27.402	-0.826	-5.555	71.375
413	4.12000	-7.886	2.504	5.711	2.553	5.199	-9.799	3.451	16.495	70.627	23.719	27.724	33.333	5.840	9.406	92.786
414	4.13000	-7.945	12.000	23.646	-5.383	9.890	-2.492	-6.398	6.037	91.412	14.479	27.694	48.012	3.386	13.566	124.022
415	4.14000	-8.833	14.033	40.632	-10.379	8.178	14.191	9.752	26.565	133.675	-7.584	29.563	71.896	-3.117	13.911	147.208
416	4.15000	1.558	15.524	85.459	1.405	10.332	54.691	6.072	26.957	135.060	3.042	32.341	109.064	-3.932	16.484	165.446
