NO_OF_FRAMES	494
NO_OF_DATA_TYPES	15
FREQUENCY	100
TIME_STAMP	2025-01-24, 16:29:55
DATA_INCLUDED	Acceleration
DATA_TYPES	2_acc_X	2_acc_Y	2_acc_Z	3_acc_X	3_acc_Y	3_acc_Z	4_acc_X	4_acc_Y	4_acc_Z	C_acc_X	C_acc_Y	C_acc_Z	1_acc_X	1_acc_Y	1_acc_Z

Frame	Time	2_acc_X	2_acc_Y	2_acc_Z	3_acc_X	3_acc_Y	3_acc_Z	4_acc_X	4_acc_Y	4_acc_Z	C_acc_X	C_acc_Y	C_acc_Z	1_acc_X	1_acc_Y	1_acc_Z	
395	3.94000	82.624	-110.019	-15.852	174.161	-50.551	567.659	-11.199	-122.896	-279.051	-129.067	-220.256	64.421	269.728	679.947	786.926
396	3.95000	-321.865	-159.253	-170.994	-487.211	307.194	-439.647	-0.212	383.172	437.828	-190.535	411.270	124.692	43.087	-136.738	-95.604
397	3.96000	216.147	364.227	224.514	150.171	-192.474	-32.718	-136.255	115.605	132.130	317.399	-551.335	20.596	48.164	-38.564	-319.196
398	3.97000	1740.727	1506.488	-15.045	-1485.958	1166.693	450.969	-1470.709	-2437.908	-146.600	60.896	482.018	64.448	1901.706	-2491.845	-513.824
399	3.98000	-2695.817	-2449.108	-263.827	1874.370	-1325.469	-199.594	2196.258	3092.528	-342.252	-35.008	-303.406	-354.409	-3195.042	4701.334	1411.911
400	3.99000	1520.593	1042.143	229.947	159.907	361.286	-132.771	-110.222	-529.012	423.231	-119.950	-38.309	384.589	2112.987	-3767.974	-1396.382
401	4.00000	-1485.410	-906.082	184.624	-79.524	-866.914	-537.097	-873.828	-800.629	-70.891	-54.535	173.643	-59.085	-1810.091	2093.850	861.887
402	4.01000	773.615	75.364	-410.605	-717.565	1456.533	1036.630	834.051	871.099	-178.120	151.947	-80.563	-257.660	1186.836	-665.027	-281.612
403	4.02000	471.116	1024.857	114.872	-541.257	-902.703	-792.842	-1010.750	-881.102	43.596	-78.437	210.063	349.964	-662.818	572.568	422.039
404	4.03000	-446.377	-179.900	259.046	2251.107	-854.478	905.183	942.622	491.912	570.117	-212.771	-74.196	-119.613	245.841	-420.762	-378.563
405	4.04000	392.698	-356.617	74.577	-2613.692	1100.135	-320.871	-2712.623	3072.792	2895.318	214.885	-459.937	102.303	347.126	528.769	754.266
406	4.05000	-830.256	-261.285	-408.552	1378.877	-663.377	-900.810	-376.935	-37.661	1698.087	-37.279	528.693	-207.969	-698.790	-656.520	-372.010
407	4.06000	419.807	753.890	288.759	-605.353	149.072	1520.761	6557.571	-3168.826	-7867.258	-237.133	-387.559	182.050	1155.130	-401.621	298.542
408	4.07000	-119.657	-1371.375	259.855	-389.667	1735.268	-2142.221	-4974.667	-107.432	3410.216	700.956	367.320	69.442	1433.042	783.948	2063.342
409	4.08000	588.204	530.852	-905.645	1303.883	-2099.208	1805.612	1477.166	59.662	1843.801	-416.675	160.477	914.406	-1526.010	541.915	724.916
410	4.09000	-1078.956	381.350	176.460	-3095.671	2600.532	-4966.492	-1136.248	-308.524	1156.406	64.129	119.605	1053.749	-552.693	-843.909	-435.279
411	4.10000	1302.137	77.092	1616.153	694.056	-616.076	3864.204	1463.810	2157.503	2137.604	518.134	989.580	-34.629	-345.896	-1158.492	3187.661
412	4.11000	-1451.377	253.314	-2046.308	2913.663	-1426.313	-164.730	540.284	970.543	568.415	74.961	967.814	1190.350	412.272	1350.777	1973.012
413	4.12000	141.649	-106.653	2654.245	-1363.312	1515.140	-519.756	-1753.892	-2156.251	1367.419	3377.629	761.607	-4.245	920.903	1641.353	2309.169
414	4.13000	-153.474	2005.835	932.676	-223.973	-576.796	1981.135	-215.762	64.792	2789.654	-5225.460	-767.685	2940.137	-1411.567	-809.384	3937.941
415	4.14000	-24.049	-1599.328	2464.554	-775.254	234.272	1355.574	3445.766	4040.786	5662.850	812.865	1141.453	1836.621	110.785	878.365	699.335
416	4.15000	2102.227	1897.632	6500.859	3132.124	196.545	6744.319	-4181.916	-3962.474	-5385.685	1312.183	-585.900	5596.920	-273.683	-363.623	2948.187
417	4.16000	-2164.161	-972.433	-593.486	-2843.189	1106.933	3212.645	1193.265	1946.650	6655.260	-1423.465	-1022.398	-1777.450	1104.224	1955.367	821.977
418	4.17000	-284.761	1285.609	6730.064	210.695	-559.798	-3270.252	-604.847	-852.847	-3067.216	1744.834	1504.220	6637.995	-692.619	-282.391	1197.600
419	4.18000	549.265	-606.938	1408.632	3441.184	1111.339	9442.216	2227.461	1949.981	6329.724	-2770.058	-995.618	-4467.066	1243.503	937.588	2970.758
420	4.19000	1265.319	888.700	4581.641	-3520.116	1338.562	-5363.013	-2422.248	-229.852	-4841.637	-240.804	1955.584	8812.011	-1403.470	-292.431	2956.132
421	4.20000	8.637	2125.255	458.998	865.711	1754.389	6292.115	1985.604	320.128	6070.058	3176.323	959.657	1423.278	-663.371	1132.696	815.626
422	4.21000	-286.065	651.885	3455.764	-305.818	1874.639	2162.295	930.435	2885.103	654.772	-2247.099	-1962.727	187.076	3161.681	1585.832	2533.970
423	4.22000	979.246	1361.791	2020.217	2623.159	-4613.830	3226.708	-1379.683	-1143.245	2236.519	-1587.701	38.104	2178.255	-384.412	-547.324	1251.752
424	4.23000	-349.652	-1354.557	4897.839	-2490.957	3561.031	-672.841	490.264	1454.741	-972.254	2682.587	1669.265	1789.353	-922.418	200.560	4095.395
425	4.24000	-20.815	232.914	-931.874	-286.281	209.479	4494.587	-224.431	-10.334	3435.158	-2217.157	1122.072	655.041	970.669	789.045	-385.187
426	4.25000	148.419	2764.884	3522.903	544.134	692.788	-1396.126	1875.701	2838.286	-181.066	2776.898	1369.196	3025.728	689.105	848.104	255.234
427	4.26000	2503.499	1961.619	-151.113	3841.620	1427.436	4823.206	-638.854	-2059.956	3670.414	5668.653	3241.408	3066.241	2239.318	2649.145	4105.513
428	4.27000	-2202.746	-2942.100	2008.683	-1444.422	2116.372	131.106	3671.739	3257.146	2614.029	7744.995	2552.266	4528.279	-2712.196	-704.796	-188.214
429	4.28000	2657.049	1974.200	-284.127	11.791	-1404.634	4776.626	-768.500	-593.137	385.460	-8665.270	-768.539	-2800.519	-7.260	-701.427	1292.093
430	4.29000	-489.473	1395.387	2165.483	2515.329	1838.353	-1153.042	-1807.009	-204.975	2831.963	-381.919	-2218.926	1880.946	2944.364	3420.597	-600.938
431	4.30000	-1183.468	-1637.491	424.041	-3307.350	3986.622	4604.261	1735.810	3330.747	97.948	216.290	3584.487	1710.353	770.861	-1623.541	1818.036
432	4.31000	3247.312	4271.313	1585.906	2100.207	-4254.759	-474.664	-339.060	-1242.322	-816.591	-846.805	-3841.672	-1651.280	-696.246	-206.001	-2949.910
433	4.32000	-1980.476	-2744.368	-289.841	3887.248	3064.783	471.786	2662.250	3665.518	4420.167	919.201	4809.904	2531.664	1948.327	2973.362	4422.086
434	4.33000	2399.471	3014.658	-2531.209	-2971.308	-817.067	2398.375	-1757.716	-4015.286	-1625.962	-137.447	-2743.420	-1139.004	-289.408	-1336.307	-256.811
435	4.34000	832.238	-1457.348	3686.116	2100.027	4580.699	-2423.329	2265.225	4984.180	2033.981	2210.740	3370.813	1751.142	-372.562	2889.123	-1176.695
436	4.35000	-2077.582	-231.862	-3105.815	-1537.085	-4303.867	-309.753	548.320	-2483.198	1146.748	11.817	-1505.177	-530.045	2042.684	-1631.501	-39.728
437	4.36000	2508.761	2788.257	2419.208	1363.498	4324.502	2425.371	-210.181	2394.392	-1235.919	-200.210	3666.932	83.679	351.086	1850.883	979.440
438	4.37000	1151.868	84.732	-2481.540	1867.152	-3960.947	-908.559	1819.624	-902.038	2469.406	1357.997	-2251.575	408.564	-186.192	201.063	1395.402
439	4.38000	-315.014	3640.162	2259.373	141.918	4486.386	0.547	-1270.283	2961.370	-1574.364	393.183	778.032	-1125.821	2026.092	2147.761	-3275.573
440	4.39000	696.140	-3143.765	-2291.409	-151.264	-59.731	2068.288	2538.002	-1781.783	1618.293	937.147	2585.970	2188.989	-396.487	-1441.195	4143.658
441	4.40000	1769.913	2754.529	-324.388	1444.592	635.287	-4362.788	192.501	2355.276	-1142.776	-488.903	-634.769	-3318.643	211.489	1893.374	-3680.866
442	4.41000	-895.696	-497.099	-663.615	132.780	176.280	4650.292	-46.056	1339.584	1455.513	1186.136	1718.182	3284.042	83.419	118.781	566.458
443	4.42000	329.742	-153.667	-508.476	1907.707	1044.602	-1406.978	-3131.825	-4067.738	-3032.515	460.156	-1230.049	-1563.607	384.347	1455.049	-840.477
444	4.43000	1425.971	2492.172	979.215	-414.925	-2311.322	-463.471	7059.302	4832.883	3424.357	-1101.718	1311.210	-1494.248	882.521	-399.865	-976.675
445	4.44000	1198.508	-139.052	-2454.094	-75.978	3745.935	424.256	-3137.928	1075.617	-2472.541	1835.478	1093.213	945.405	-388.910	3447.004	655.881
446	4.45000	551.094	2967.307	2882.351	2035.857	672.651	125.053	841.058	-2437.172	2092.931	256.653	1600.148	-1044.611	1517.493	-1673.239	99.252
447	4.46000	-850.767	42.170	-4373.537	2059.015	55.305	1503.121	-1402.194	1036.796	-5291.961	164.573	-2673.199	-234.757	-1560.064	-597.010	-4609.962
448	4.47000	1018.731	-2156.109	2011.931	-3448.606	-487.713	-3723.158	3760.794	3362.092	4819.020	-572.201	3329.762	267.646	3933.858	2899.241	3226.343
449	4.48000	132.604	2744.487	-1283.607	1164.296	1274.790	1101.958	-1866.217	-2135.399	-4490.841	2499.480	-79.874	-918.704	-2588.134	-2487.845	-5356.516
450	4.49000	890.371	-982.856	607.754	944.280	556.041	2995.193	-547.121	1019.367	-777.536	-2822.550	-3720.040	-2732.370	732.640	3352.913	570.620
451	4.50000	379.045	3108.335	1948.463	995.662	-2322.270	-4323.151	2281.978	-1178.793	790.060	-2492.488	2639.331	464.487	2288.793	-1991.400	91.723
452	4.51000	165.265	-1798.449	-3301.282	-228.001	3290.493	-906.518	-847.726	1867.196	-2593.304	4416.959	1143.021	-480.581	-2615.750	3189.970	1203.986
453	4.52000	-695.885	-157.346	-284.966	-833.253	465.926	-111.284	959.902	1254.436	222.288	-5206.657	-145.056	-4883.331	1993.840	-2215.187	-5295.366
454	4.53000	-59.441	858.361	622.706	1143.661	173.661	-2146.725	-805.885	-1592.638	-2157.022	8910.267	1257.464	6495.160	-2397.548	3844.243	4018.119
455	4.54000	1340.438	627.348	-3785.177	344.205	-618.121	1236.718	342.752	2618.020	-802.451	-1838.657	2589.735	-4162.449	4011.652	-991.683	-343.447
456	4.55000	420.209	1608.444	4233.673	1572.573	1568.100	-1777.729	-242.335	-2101.722	1114.698	5365.785	-1298.531	3890.159	-3296.122	872.148	-1735.852
457	4.56000	1247.923	28.937	-3022.102	-1585.512	-2488.673	-1865.933	2413.803	4195.703	131.497	-5345.597	-567.053	-3213.403	2668.333	-1220.383	-2530.946
458	4.57000	-42.287	493.900	-1256.340	-1680.283	3845.188	-627.842	-2286.573	-3543.695	-4236.225	5662.108	5141.824	-151.064	-1367.667	2220.836	2681.666
459	4.58000	-462.166	-15.948	2196.739	4875.486	-1621.731	-377.629	172.358	1667.473	1374.303	-6888.797	-5053.747	-4229.455	824.613	1.830	247.467
460	4.59000	572.489	654.582	-3238.554	-830.178	1212.760	-819.485	2068.741	-820.053	-1305.169	2434.697	2836.475	2228.219	1947.134	-254.219	-1317.273
461	4.60000	-2987.700	-3285.404	-1666.535	-646.381	1030.949	-1085.621	-812.602	2592.470	-536.100	3194.291	1179.347	-1028.187	-1903.937	-137.176	1339.811
462	4.61000	3477.916	3359.246	370.159	946.544	-1190.820	-1165.097	694.224	-1680.380	-3310.267	-3163.902	-1552.591	-611.800	511.721	4.976	-5269.550
463	4.62000	279.956	715.088	336.312	-624.778	1274.536	-1575.343	853.914	2895.653	3480.433	1803.116	3350.306	-1809.030	382.381	4220.217	4248.546
464	4.63000	497.692	1214.426	1503.500	34.518	-515.117	-4543.912	-922.755	-2079.401	-3016.286	-639.104	-3727.883	-2088.457	491.631	-4137.987	-1402.637
465	4.64000	536.489	39.186	-3866.464	-851.977	1294.273	2849.341	668.495	2093.197	-320.843	222.319	1267.927	2323.413	-908.382	3257.852	-1370.345
466	4.65000	-1671.286	-2824.431	-2181.717	4102.321	-1545.735	-846.956	306.015	-1832.234	-2731.317	-103.364	-45.115	-2947.662	3156.248	-2889.159	-1486.038
467	4.66000	1293.235	3108.259	811.546	-2962.333	1342.977	-2995.490	-213.603	1093.134	967.896	696.018	1320.338	-923.205	-636.227	5074.876	1562.606
468	4.67000	-114.219	509.754	-2339.808	1722.645	1939.557	895.098	39.606	-191.007	-398.983	2043.691	1218.186	1015.471	-968.118	-4133.534	-1531.125
469	4.68000	2442.182	265.140	1211.640	-43.160	-2851.439	-2158.058	2260.409	823.947	-729.136	-2357.934	-1380.825	-2630.766	425.021	1326.445	1203.134
470	4.69000	127.271	-88.982	-307.050	-955.674	1889.666	-1319.042	-1816.736	1174.164	93.510	3065.728	2004.096	1603.479	1926.531	345.960	-2092.132
471	4.70000	-2313.172	-6.108	-2529.879	699.241	-235.030	1321.773	1525.271	-1676.455	-1413.113	-1401.847	-1079.907	-3090.301	-166.019	743.215	-1205.946
472	4.71000	2731.227	263.769	-202.677	1570.404	1460.362	-1903.570	1038.491	2323.149	-334.267	-870.356	449.532	-218.414	-208.427	362.050	48.570
473	4.72000	-986.835	-88.633	-2207.913	445.282	-2200.132	-472.377	-623.285	238.013	53.065	1901.086	919.056	-125.525	1989.380	1177.549	-699.056
474	4.73000	302.091	2900.586	78.698	-561.909	1622.995	-1402.240	635.373	-1714.938	-3275.043	-588.236	109.169	-1879.077	-1830.115	-1376.816	-2819.384
475	4.74000	1301.358	-2353.442	-829.135	587.185	2334.864	1669.272	-1361.927	2028.071	1714.082	1399.830	-614.847	-216.321	1175.678	729.580	-917.593
476	4.75000	-1024.096	1310.675	147.616	1761.838	-1845.934	-1869.126	2483.181	-174.424	-1391.602	252.828	1320.669	1536.976	570.855	716.269	-461.816
477	4.76000	3262.528	-365.102	-171.198	-876.142	601.298	93.776	256.505	-992.010	-2028.174	747.779	687.737	-2838.155	-689.811	-55.940	-949.946
478	4.77000	-490.812	1516.825	-1331.321	1083.670	34.066	176.656	-216.077	1465.418	107.545	1401.056	-1629.746	-462.799	604.082	-545.677	-1781.874
479	4.78000	360.454	-634.065	160.116	349.082	385.836	-1738.804	2371.389	1292.322	-63.213	-1967.849	1539.454	-2026.711	2257.464	475.407	1663.942
