NO_OF_FRAMES	494
NO_OF_DATA_TYPES	15
FREQUENCY	100
TIME_STAMP	2025-01-24, 16:24:13
DATA_INCLUDED	Position
DATA_TYPES	2_pos_X	2_pos_Y	2_pos_Z	3_pos_X	3_pos_Y	3_pos_Z	4_pos_X	4_pos_Y	4_pos_Z	C_pos_X	C_pos_Y	C_pos_Z	1_pos_X	1_pos_Y	1_pos_Z

Frame	Time	2_pos_X	2_pos_Y	2_pos_Z	3_pos_X	3_pos_Y	3_pos_Z	4_pos_X	4_pos_Y	4_pos_Z	C_pos_X	C_pos_Y	C_pos_Z	1_pos_X	1_pos_Y	1_pos_Z	
399	3.98000	226.602	273.852	36.155	375.226	272.415	34.111	373.046	122.470	38.171	303.328	196.303	56.520	225.134	122.387	38.002
400	3.99000	226.511	273.776	36.136	375.254	272.394	34.122	373.107	122.564	38.146	303.340	196.295	56.497	225.017	122.604	38.073
401	4.00000	226.571	273.804	36.140	375.298	272.409	34.119	373.156	122.604	38.163	303.339	196.282	56.512	225.111	122.443	38.003
402	4.01000	226.483	273.741	36.163	375.334	272.337	34.063	373.118	122.565	38.173	303.333	196.287	56.521	225.024	122.492	38.020
403	4.02000	226.472	273.687	36.144	375.298	272.411	34.110	373.163	122.613	38.166	303.343	196.284	56.505	225.055	122.474	38.008
404	4.03000	226.509	273.734	36.137	375.208	272.395	34.078	373.107	122.573	38.162	303.344	196.302	56.524	225.021	122.514	38.039
405	4.04000	226.501	273.764	36.156	375.343	272.293	34.136	373.145	122.582	38.216	303.324	196.313	56.530	225.011	122.511	38.032
406	4.05000	226.532	273.758	36.182	375.217	272.301	34.162	372.912	122.898	38.559	303.326	196.277	56.547	225.035	122.562	38.101
407	4.06000	226.480	273.726	36.168	375.228	272.243	34.099	372.642	123.211	39.072	303.324	196.295	56.543	224.990	122.546	38.132
408	4.07000	226.470	273.769	36.182	375.179	272.200	34.187	373.027	123.206	38.798	303.298	196.273	56.557	225.060	122.491	38.193
409	4.08000	226.448	273.675	36.222	375.092	272.330	34.061	372.915	123.191	38.866	303.342	196.289	56.578	225.274	122.514	38.460
410	4.09000	226.485	273.634	36.172	375.134	272.251	34.116	372.950	123.182	39.117	303.345	196.320	56.691	225.335	122.591	38.800
411	4.10000	226.414	273.632	36.140	374.867	272.431	33.674	372.872	123.142	39.485	303.354	196.364	56.909	225.341	122.584	39.096
412	4.11000	226.473	273.637	36.269	374.669	272.550	33.618	372.940	123.317	40.066	303.414	196.506	57.123	225.312	122.461	39.712
413	4.12000	226.387	273.667	36.193	374.763	272.526	33.546	373.062	123.590	40.704	303.483	196.745	57.457	225.324	122.473	40.524
414	4.13000	226.315	273.687	36.383	374.720	272.654	33.422	373.009	123.647	41.478	303.889	197.061	57.790	225.429	122.649	41.567
415	4.14000	226.228	273.907	36.666	374.655	272.724	33.497	372.934	123.711	42.532	303.772	197.299	58.417	225.392	122.744	43.004
416	4.15000	226.138	273.967	37.195	374.513	272.818	33.706	373.204	124.179	44.152	303.737	197.652	59.228	225.366	122.927	44.511
417	4.16000	226.259	274.217	38.375	374.683	272.931	34.590	373.056	124.250	45.233	303.833	197.946	60.598	225.313	123.074	46.313
418	4.17000	226.163	274.370	39.495	374.570	273.155	35.796	373.027	124.516	46.980	303.787	198.138	61.791	225.371	123.416	48.197
419	4.18000	226.039	274.652	41.289	374.477	273.322	36.674	372.937	124.697	48.420	303.915	198.480	63.648	225.359	123.730	50.201
420	4.19000	225.970	274.873	43.223	374.729	273.601	38.497	373.070	125.073	50.493	303.766	198.723	65.057	225.471	124.138	52.502
421	4.20000	226.027	275.182	45.615	374.628	274.014	39.783	372.961	125.426	52.082	303.593	199.161	67.349	225.443	124.516	55.099
422	4.21000	226.085	275.704	48.053	374.614	274.603	41.699	373.051	125.810	54.278	303.738	199.695	69.782	225.349	125.008	57.777
423	4.22000	226.115	276.292	50.837	374.570	275.378	43.830	373.233	126.484	56.539	303.658	200.033	72.234	225.571	125.658	60.708
424	4.23000	226.242	277.015	53.823	374.788	275.693	46.285	373.278	127.043	59.024	303.419	200.375	74.904	225.755	126.254	63.765
425	4.24000	226.335	277.603	57.299	374.756	276.363	48.672	373.372	127.747	61.412	303.449	200.884	77.753	225.846	126.869	67.231
426	4.25000	226.425	278.215	60.681	374.696	277.055	51.508	373.443	128.451	64.144	303.256	201.505	80.667	226.034	127.564	70.659
